"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","SEX","AGE","URBANISATION","UNIT_MEASURE","COMP_BREAKDOWN_1","COMP_BREAKDOWN_2","COMP_BREAKDOWN_3","TIME_PERIOD","OBS_VALUE","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","COMMENT_TS","COMMENT_OBS","UNIT_MULT","OBS_STATUS","OBS_CONF","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","SEX_LABEL","AGE_LABEL","URBANISATION_LABEL","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MDG","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","11.1039854863621","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 8146","0","A","PU","Annual","Madagascar","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MLI","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","50.7117559575276","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 2857","0","A","PU","Annual","Mali","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","MWI","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2020","76.4258339016515","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2019–2020","Number of Households: 2333","0","A","PU","Annual","Malawi","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","NER","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2014","12.2138461784856","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2014","Number of Households: 3468","0","A","PU","Annual","Niger","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","NGA","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2024","37.8379457258334","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2023–2024","Number of Households: 2549","0","A","PU","Annual","Nigeria","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","RWA","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","43.7404997871952","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2022","Number of Households: 16447","0","A","PU","Annual","Rwanda","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","SEN","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","41.8215150524122","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 2650","0","A","PU","Annual","Senegal","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","SLE","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2023","9.17835516994873","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2023","Number of Households: 4844","0","A","PU","Annual","Sierra Leone","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","TCD","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2010","4.69572857263716","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2010","Number of Households: 4386","0","A","PU","Annual","Chad","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","TGO","AG_INF_SD","_Z","_Z","_Z","PT_HH","_Z","_Z","_Z","2022","57.7402998412756","_Z","NUMBER","2","WB_AGCI","602","Survey year range: 2021–2022","Number of Households: 3771","0","A","PU","Annual","Togo","Percentage of Agricultural Households using Inorganic Fertilizer","Not applicable","Not applicable","Not applicable","Percentage of households","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Number (real number)","Two","AgriConnect Indicators","CCYY","Units","Normal value","Public"
